id,颜色名称en,颜色名称zh,HEX,R,G,B,H,S,V,Y,U,V
0,aliceblue,艾利斯兰,#f0f8ff,240,248,255,104,15,255,246,132,123
1,antiquewhite,古董白,#faebd7,250,235,215,17,36,250,237,117,139
2,aqua,浅绿色,#00ffff,0,255,255,90,255,255,179,165,0
3,aquamarine,碧绿色,#7fffd4,127,255,212,80,128,255,212,128,53
4,azure,蔚蓝色,#f0ffff,240,255,255,90,15,255,251,130,118
5,beige,米色,#f5f5dc,245,245,220,30,26,245,242,117,131
6,bisque,桔黄色,#ffe4c4,255,228,196,16,59,255,232,110,148
7,black,黑色,#000000,0,0,0,0,0,0,0,128,128
8,blanchedalmond,白杏色,#ffebcd,255,235,205,18,50,255,238,112,143
9,blue,蓝色,#0000ff,0,0,255,120,255,255,29,239,103
10,blueviolet,紫罗兰色,#8a2be2,138,43,226,135,207,226,92,194,168
11,brown,褐色,#a52a2a,165,42,42,0,190,165,79,110,203
12,burlywood,实木色,#deb887,222,184,135,17,100,222,190,101,156
13,cadetblue,军兰色,#5f9ea0,95,158,160,91,104,160,139,138,89
14,chartreuse,淡黄绿色,#7fff00,127,255,0,45,255,255,188,36,75
15,chocolate,巧可力色,#d2691e,210,105,30,13,219,210,128,80,200
16,coral,珊瑚色,#ff7f50,255,127,80,8,175,255,160,89,211
17,cornflowerblue,菊兰色,#6495ed,100,149,237,109,147,237,144,174,89
18,cornsilk,米绸色,#fff8dc,255,248,220,24,35,255,247,115,135
19,crimson,暗深红色,#dc143c,220,20,60,174,232,220,84,116,247
20,cyan,青色,#00ffff,0,255,255,90,255,255,179,165,0
21,darkblue,暗蓝色,#00008b,0,0,139,120,255,139,16,189,114
22,darkcyan,暗青色,#008b8b,0,139,139,90,255,139,97,149,43
23,darkgoldenrod,暗金黄色,#b8860b,184,134,11,21,240,184,135,67,171
24,darkgray,深灰色,#a9a9a9,169,169,169,0,0,169,169,128,128
25,darkgreen,暗绿色,#006400,0,100,0,60,255,100,59,99,76
26,darkkhaki,暗黄褐色,#bdb76b,189,183,107,28,111,189,176,94,139
27,darkmagenta,暗洋红,#8b008b,139,0,139,150,255,139,57,168,200
28,darkoLiveegreen,暗橄榄绿,#556b2f,85,107,47,41,143,107,94,105,120
29,darkorange,暗桔黄色,#ff8c00,255,140,0,16,255,255,158,50,213
30,darkorchid,暗紫色,#9932cc,153,50,204,140,193,204,98,180,176
31,darkred,暗红色,#8b0000,139,0,0,0,255,139,42,107,213
32,darksalmon,暗肉色,#e9967a,233,150,122,8,121,233,172,103,181
33,darkseagreen,暗海兰色,#8fbc8f,143,188,143,60,61,188,169,115,105
34,darkslateblue,暗灰蓝色,#483d8b,72,61,139,124,143,139,73,160,127
35,darkslategray,暗瓦灰色,#2f4f4f,47,79,79,90,103,79,69,133,109
36,darkturquoise,暗宝石绿,#00ced1,0,206,209,90,255,209,145,159,1
37,darkviolet,暗紫罗兰色,#9400d3,148,0,211,141,255,211,68,198,198
38,deeppink,深粉红色,#ff1493,255,20,147,164,235,255,105,149,255
39,deepskyblue,深天蓝色,#00bfff,0,191,255,98,255,255,141,184,4
40,dimgray,暗灰色,#696969,105,105,105,0,0,105,105,128,128
41,dodgerblue,闪兰色,#1e90ff,30,144,255,105,225,255,123,193,46
42,firebrick,火砖色,#b22222,178,34,34,0,206,178,77,107,217
43,floralwhite,花白色,#fffaf0,255,250,240,20,15,255,250,123,132
44,forestgreen,森林绿,#228b22,34,139,34,60,193,139,96,97,74
45,fuchsia,紫红色,#ff00ff,255,0,255,150,255,255,105,202,255
46,gainsboro,淡灰色,#dcdcdc,220,220,220,0,0,220,220,128,128
47,ghostwhite,幽灵白,#f8f8ff,248,248,255,120,7,255,249,131,127
48,gold,金色,#ffd700,255,215,0,25,255,255,202,29,174
49,goldenrod,金麒麟色,#daa520,218,165,32,21,218,218,166,62,174
50,gray,灰色,#808080,128,128,128,0,0,128,128,128,128
51,green,绿色,#008000,0,128,0,60,255,128,75,91,62
52,greenyellow,亮黄绿色,#adff2f,173,255,47,42,208,255,207,49,98
53,honeydew,蜜色,#f0fff0,240,255,240,60,15,255,249,124,120
54,hotpink,热粉红色,#ff69b4,255,105,180,165,150,255,158,139,213
55,indianred,印第安红,#cd5c5c,205,92,92,0,141,205,126,111,197
56,indigo,靛青色,#4b0082,75,0,130,137,255,130,37,174,161
57,ivory,象牙色,#fffff0,255,255,240,30,15,255,253,122,130
58,khaki,黄褐色,#f0e68c,240,230,140,27,106,240,223,87,143
59,lavender,淡紫色,#e6e6fa,230,230,250,120,20,250,232,137,126
60,lavenderblush,淡紫红,#fff0f5,255,240,245,170,15,255,245,128,137
61,lawngreen,草绿色,#7cfc00,124,252,0,45,255,252,185,37,75
62,lemonchiffon,柠檬绸色,#fffacd,255,250,205,27,50,255,246,108,136
63,lightblue,亮蓝色,#add8e6,173,216,230,97,63,230,205,140,100
64,lightcoral,亮珊瑚色,#f08080,240,128,128,0,119,240,161,112,197
65,lightcyan,亮青色,#e0ffff,224,255,255,90,31,255,246,132,109
66,lightgoldenrodyellow,亮金黄色,#fafad2,250,250,210,30,41,250,245,111,132
67,lightgray,亮灰色,#d3d3d3,211,211,211,0,0,211,211,128,128
68,lightgreen,亮绿色,#90ee90,144,238,144,60,101,238,199,101,80
69,lightpink,亮粉红色,#ffb6c1,255,182,193,175,73,255,205,122,172
70,lightsalmon,亮肉色,#ffa07a,255,160,122,9,133,255,184,97,190
71,lightseagreen,亮海蓝色,#20b2aa,32,178,170,88,209,178,133,146,39
72,lightskyblue,亮天蓝色,#87cefa,135,206,250,102,117,250,190,158,80
73,lightslategray,亮蓝灰,#778899,119,136,153,105,57,153,133,138,116
74,lightsteelblue,亮钢兰色,#b0c4de,176,196,222,107,53,222,193,142,113
75,lightyellow,亮黄色,#ffffe0,255,255,224,30,31,255,251,115,132
76,lime,酸橙色,#00ff00,0,255,0,60,255,255,150,54,0
77,limegreen,橙绿色,#32cd32,50,205,50,60,193,205,141,83,48
78,linen,亚麻色,#faf0e6,250,240,230,15,20,250,242,122,135
79,magenta,红紫色,#ff00ff,255,0,255,150,255,255,105,202,255
80,maroon,粟色,#800000,128,0,0,0,255,128,38,109,207
81,mediumaquamarine,中绿色,#66cdaa,102,205,170,80,128,205,170,128,68
82,mediumblue,中兰色,#0000cd,0,0,205,120,255,205,23,218,108
83,mediumorchid,中粉紫色,#ba55d3,186,85,211,144,152,211,130,168,177
84,mediumpurple,中紫色,#9370db,147,112,219,130,125,219,135,169,139
85,mediumseagreen,中海蓝,#3cb371,60,179,113,73,170,179,136,117,61
86,mediumslateblue,中暗蓝色,#7b68ee,123,104,238,124,144,238,125,184,126
87,mediumspringgreen,中春绿色,#00fa9a,0,250,154,79,255,250,164,123,0
88,mediumturquoise,中绿宝石,#48d1cc,72,209,204,89,167,209,167,146,45
89,mediumvioletred,中紫罗兰色,#c71585,199,21,133,161,228,199,87,151,226
90,midnightblue,中灰兰色,#191970,25,25,112,120,198,112,35,166,119
91,mintcream,薄荷色,#f5fffa,245,255,250,75,10,255,251,128,123
92,mistyrose,浅玫瑰色,#ffe4e1,255,228,225,3,30,255,236,123,145
93,moccasin,鹿皮色,#ffe4b5,255,228,181,19,74,255,231,103,149
94,navajowhite,纳瓦白,#ffdead,255,222,173,18,82,255,226,102,153
95,navy,海军色,#000080,0,0,128,120,255,128,15,184,115
96,oldlace,老花色,#fdf5e6,253,245,230,20,23,253,246,120,134
97,oLivee,橄榄色,#808000,128,128,0,30,255,128,113,72,141
98,oLiveedrab,深绿褐色,#6b8e23,107,142,35,40,192,142,119,87,117
99,orange,橙色,#ffa500,255,165,0,19,255,255,173,43,200
100,orangered,红橙色,#ff4500,255,69,0,8,255,255,117,70,249
101,orchid,粉淡紫色,#da70d6,218,112,214,151,124,218,155,157,183
102,palegoldenrod,苍麒麟色,#eee8aa,238,232,170,27,73,238,227,100,138
103,palegreen,苍绿色,#98fb98,152,251,152,60,101,251,210,99,77
104,paleturquoise,苍宝石绿,#afeeee,175,238,238,90,68,238,219,137,89
105,palevioletred,苍紫罗兰色,#db7093,219,112,147,170,125,219,148,128,190
106,papayawhip,番木色,#ffefd5,255,239,213,19,42,255,241,114,140
107,peachpuff,桃色,#ffdab9,255,218,185,14,70,255,225,108,154
108,peru,秘鲁色,#cd853f,205,133,63,15,177,205,147,87,179
109,pink,粉红色,#ffc0cb,255,192,203,175,63,255,212,124,166
110,plum,洋李色,#dda0dd,221,160,221,150,70,221,185,146,160
111,powderblue,粉蓝色,#b0e0e6,176,224,230,93,60,230,210,138,98
112,purple,紫色,#800080,128,0,128,150,255,128,53,165,194
113,red,红色,#ff0000,255,0,0,0,255,255,76,91,255
114,rosybrown,褐玫瑰红,#bc8f8f,188,143,143,0,61,188,156,122,156
115,royalblue,皇家蓝,#4169e1,65,105,225,113,181,225,107,186,91
116,saddlebrown,重褐色,#8b4513,139,69,19,13,220,139,84,96,176
117,salmon,鲜肉色,#fa8072,250,128,114,3,139,250,163,104,204
118,sandybrown,沙褐色,#f4a460,244,164,96,14,155,244,180,87,184
119,seagreen,海绿色,#2e8b57,46,139,87,73,171,139,105,119,76
120,seashell,海贝色,#fff5ee,255,245,238,12,17,255,247,124,135
121,sienna,赭色,#a0522d,160,82,45,10,183,160,101,100,180
122,silver,银色,#c0c0c0,192,192,192,0,0,192,192,128,128
123,skyblue,天蓝色,#87ceeb,135,206,235,99,109,235,188,151,82
